Country,0-0.5%,0.5-2%,2-5%,5-10%,10-15%,15-30%,30-45%,>45%
Afghanistan,100269.98,117688.31,87815.80,92152.90,69436.28,135462.84,37504.10,1868.97
Albania,2710.74,1252.12,1923.00,4831.72,5725.72,9849.23,1641.22,89.01
Algeria,943371.01,807407.35,313180.01,148929.46,56616.31,36631.14,1651.08,35.84
Andorra,0.00,0.26,3.30,21.98,53.65,267.98,104.88,0.39
Angola,321104.47,434541.45,338293.65,100740.21,27341.78,19831.49,827.10,33.04
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,85.42,96.59,71.69,34.11,15.54,13.00,0.03,0.00
Argentina,1431116.41,595940.61,284245.02,195148.93,101633.68,142790.34,28727.27,678.42
Armenia,2477.45,3143.00,4696.89,6153.09,4745.40,7835.38,537.33,2.68
Australia,3862763.86,2657077.98,666133.77,282148.57,106509.01,84746.71,3331.25,43.76
Austria,5232.33,9024.00,12384.70,12786.77,9661.06,25819.24,8525.65,559.82
Azerbaijan,25518.76,15468.08,11008.46,11200.84,8681.48,12494.30,1850.09,23.30
Bahamas,8008.66,1794.82,174.28,7.07,0.01,0.00,0.00,0.00
Bahrain,223.25,251.47,22.39,2.08,0.11,0.00,0.00,0.00
Bangladesh,109355.30,15894.23,4261.84,3377.32,1698.17,1420.98,53.19,0.38
Barbados,23.66,146.31,133.57,43.50,10.63,0.77,0.00,0.00
Belarus,85648.68,106874.86,14674.43,301.40,2.77,1.20,0.00,0.00
Belgium,8467.77,11129.00,7613.79,2764.78,485.08,136.43,0.22,0.00
Belize,7006.38,6358.15,2988.84,2728.21,1476.67,1171.61,46.64,0.45
Benin,18752.56,83487.40,11668.72,1393.35,351.78,187.94,2.90,0.00
Bhutan,57.50,472.28,679.86,1801.74,3621.38,21732.47,11427.82,578.51
Bolivia,413636.25,253406.25,125902.21,79397.70,66567.36,124251.81,22999.52,666.24
Bosnia and Herzegovina,3449.66,3987.35,8291.51,13992.13,9905.02,11155.60,987.58,39.48
Botswana,501300.54,70391.05,5549.76,1173.31,362.97,214.20,1.50,0.00
Brazil,1463221.16,3126940.65,2389933.09,945262.13,330979.93,200805.23,6985.82,309.47
Brunei,863.25,2162.11,1414.05,548.17,278.58,369.98,6.61,0.00
Bulgaria,9986.15,21723.95,28147.08,24256.78,13513.96,14308.51,641.01,3.26
Burkina Faso,122312.99,138317.79,9831.29,1940.26,344.90,59.74,0.08,0.00
Burundi,2913.08,1669.11,5492.66,8778.83,4613.10,3492.79,85.16,0.06
Cambodia,78864.65,60907.56,18432.17,11246.30,5966.62,5103.09,156.34,1.19
Cameroon,38374.98,132494.30,186871.52,64758.31,19907.48,20220.05,1142.38,10.76
Canada,2563110.52,3280396.57,1968499.08,936995.58,386360.70,557326.55,162131.69,10126.34
Cape Verde,129.31,541.94,512.85,643.05,510.46,738.00,125.97,19.35
Central African Republic,76361.66,330671.43,185506.34,21814.20,2549.33,1076.41,9.62,0.00
Chad,743502.63,355681.94,93321.82,41167.71,16212.91,14313.05,1928.00,165.62
Chile,46254.64,108488.36,128827.72,122672.35,88133.70,167334.94,50373.55,3474.41
China,1707390.30,1800846.30,1370005.17,1345408.20,1043178.59,1706603.65,377840.55,16526.44
Colombia,244802.30,417868.96,145970.15,85806.41,72720.70,138637.87,25959.92,712.17
Comoros,2.03,52.53,179.74,420.36,326.52,286.96,37.88,3.30
Congo,89427.90,96646.84,96771.34,46220.57,11312.11,4268.14,32.72,0.00
Cook Islands,4.43,21.07,17.69,18.90,12.23,10.23,0.25,0.00
Costa Rica,5657.56,9027.61,7727.89,9629.77,7423.85,9447.18,874.13,9.25
Croatia,11954.57,9575.59,10803.98,11148.97,5360.43,4308.43,245.28,6.11
Cuba,47327.26,32270.54,11383.14,6704.38,3749.71,4309.83,202.30,0.77
Curaçao,22.26,145.79,101.07,33.96,7.74,2.93,0.00,0.00
Cyprus,639.30,1939.91,1895.95,1831.52,1154.57,1150.49,28.11,0.21
