Country,degraded,nondegraded
Senegal,2141.55,194111.00
Serbia,3602.11,73979.24
Seychelles,0.00,443.91
Sierra Leone,3411.78,68186.39
Singapore,0.00,511.03
Slovakia,1593.91,46879.75
Slovenia,573.48,19755.29
Solomon Islands,0.00,27218.10
Somalia,78781.34,560477.91
South Africa,82513.95,1137279.30
South Sudan,120321.33,506521.53
Spain,86100.39,420820.67
Sri Lanka,1920.91,64360.62
Sudan,8132.14,1848925.96
Suriname,0.00,145130.06
Swaziland,867.15,16257.33
Sweden,17717.01,428448.13
Switzerland,472.76,40949.43
Syrian Arab Republic,12678.67,173271.25
São Tomé and Principe,147.02,888.07
Taiwan,1167.57,35028.26
Tajikistan,21806.74,120433.09
Thailand,118039.78,396415.48
The former Yugoslav Republic of Macedonia,2470.06,22918.60
Timor-Leste,0.84,15072.84
Togo,15004.48,41895.89
Tonga,0.00,603.75
Trinidad and Tobago,1.68,5127.99
Tunisia,6787.57,149826.22
Turkey,148643.74,631437.00
Turkmenistan,91689.86,379156.23
Tuvalu,0.00,21.17
Uganda,48763.53,193007.59
Ukraine,25907.23,546102.36
United Arab Emirates,430.25,70650.63
United Kingdom,17529.32,232220.04
United Republic of Tanzania,153344.45,788236.23
United States of America,1672493.81,7802511.04
Uruguay,50482.63,126871.32
Uzbekistan,90171.70,357763.65
Vanuatu,0.00,12301.06
Venezuela,8526.13,904161.56
Vietnam,58297.66,270599.07
Western Sahara,3.93,90564.04
Yemen,1600.39,451452.56
Zambia,36480.59,715393.02
Zimbabwe,54987.59,334342.70
