Country,0-0.5%,0.5-2%,2-5%,5-8%,8-15%,15-30%,30-45%,>45%
Turkey,16048.14,83400.65,107750.21,128588.20,98310.55,193155.84,92693.25,58239.31
Turkmenistan,48707.30,234351.28,121642.80,39972.96,11221.00,10488.55,2575.13,1320.33
Tuvalu,0.20,1.39,1.41,0.33,0.00,0.00,0.00,0.00
Uganda,12716.40,80357.63,79726.34,36761.03,13419.84,11560.94,4652.62,2576.32
Ukraine,46176.91,220465.26,187816.50,77464.07,18199.06,13460.72,5549.29,2267.13
United Arab Emirates,3812.72,24707.90,25787.11,10131.11,2611.24,1858.14,774.05,548.05
United Kingdom,7681.97,46875.59,66837.76,55785.78,26413.44,28415.75,7665.07,4510.95
United Republic of Tanzania,49637.87,305222.13,296396.58,147842.13,50584.60,61682.22,21526.15,7951.74
United States of America,409855.76,2224507.41,2341407.26,1243727.31,516013.31,746590.86,329223.63,227238.88
Uruguay,9385.10,54972.42,79137.25,27860.74,4228.56,1492.22,120.98,4.57
Uzbekistan,58689.93,228441.59,95048.65,26339.01,8993.69,13635.88,7690.42,9096.17
Vanuatu,96.37,857.52,1745.81,1957.11,1461.80,2830.08,1416.51,973.06
Venezuela,51727.59,281760.71,215558.79,114601.44,60477.56,107484.59,49021.04,29823.48
Vietnam,14196.81,66847.96,41894.43,32667.42,23941.86,63804.38,49764.21,33854.19
Western Sahara,10494.10,57586.51,19360.35,1979.75,493.02,478.00,109.73,22.25
Yemen,15811.77,109591.61,98690.98,71257.21,40438.17,63571.77,30144.87,22612.41
Zambia,71483.17,337918.25,230619.24,71170.14,16382.71,17170.77,5452.80,1676.52
Zimbabwe,19680.61,131485.30,138890.22,53147.76,17350.50,20236.77,6453.20,2085.92
