Country,forest:good:degraded,forest:marginal:degraded,forest:poor:degraded,forest:verypoor:degraded,forest:good:nondegraded,forest:marginal:nondegraded,forest:poor:nondegraded,forest:verypoor:nondegraded,cropland:good:degraded,cropland:marginal:degraded,cropland:poor:degraded,cropland:verypoor:degraded,cropland:good:nondegraded,cropland:marginal:nondegraded,cropland:poor:nondegraded,cropland:verypoor:nondegraded,grassland:good:degraded,grassland:marginal:degraded,grassland:poor:degraded,grassland:verypoor:degraded,grassland:good:nondegraded,grassland:marginal:nondegraded,grassland:poor:nondegraded,grassland:verypoor:nondegraded,bare:good:degraded,bare:marginal:degraded,bare:poor:degraded,bare:verypoor:degraded,bare:good:nondegraded,bare:marginal:nondegraded,bare:poor:nondegraded,bare:verypoor:nondegraded,urban:good:degraded,urban:marginal:degraded,urban:poor:degraded,urban:verypoor:degraded,urban:good:nondegraded,urban:marginal:nondegraded,urban:poor:nondegraded,urban:verypoor:nondegraded,water:good:degraded,water:marginal:degraded,water:poor:degraded,water:verypoor:degraded,water:good:nondegraded,water:marginal:nondegraded,water:poor:nondegraded,water:verypoor:nondegraded,ice:good:degraded,ice:marginal:degraded,ice:poor:degraded,ice:verypoor:degraded,ice:good:nondegraded,ice:marginal:nondegraded,ice:poor:nondegraded,ice:verypoor:nondegraded
Austria,372.80,355.34,241.48,160.04,11712.82,10247.43,4262.95,4128.01,44.76,45.12,4.90,2.07,2340.64,3346.20,217.30,97.82,276.69,395.61,219.27,96.30,9616.52,14147.39,3829.37,2457.37,0.65,29.55,91.39,50.87,11.79,186.71,402.72,263.58,18.06,21.23,4.10,2.25,540.81,1183.92,340.85,134.65,1.89,5.84,0.90,0.00,124.73,246.15,98.39,56.08,0.00,0.72,12.25,8.35,0.00,3.33,18.90,13.86
Azerbaijan,79.14,4.98,1.87,4.38,2944.51,1439.06,785.69,1121.86,1315.45,30.41,10.86,3.48,17960.70,2060.81,518.33,667.99,2128.45,94.84,93.21,109.09,33201.71,6237.06,2199.89,3759.36,246.12,12.28,17.22,23.23,3183.37,104.71,21.79,73.80,295.85,0.65,0.22,0.00,885.03,37.91,12.10,0.07,225.18,23.53,39.20,36.77,682.21,58.70,105.73,106.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,39.21,43.19,743.34,0.00,97.89,83.95,1791.48,0.00,0.00,0.00,15.55,0.00,0.09,0.00,51.23,0.00,157.80,81.63,1138.83,0.00,194.39,157.89,1779.28,0.00,0.00,0.00,1.12,0.00,0.00,0.17,2.59,0.00,0.00,0.00,10.73,0.00,0.43,0.00,68.80,0.00,97.47,40.33,252.93,0.00,145.73,113.20,1329.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,18.05,0.00,0.00,0.00,7.61,0.00,0.00,0.00,38.68,0.00,0.00,0.00,229.03,0.00,0.00,0.00,7.95,0.00,0.00,0.00,128.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,690.40,11.84,0.26,0.00,6892.93,250.24,68.77,17.21,3541.04,53.30,3.29,0.70,91818.20,645.46,66.38,19.80,1138.21,73.67,13.82,1.22,12862.58,952.72,374.42,53.03,51.07,16.59,1.55,0.00,62.39,25.57,1.81,1.05,348.33,0.00,0.00,0.17,704.86,0.78,0.96,0.00,1833.64,84.41,16.05,2.62,7344.71,233.95,117.68,61.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,0.00,0.00,0.00,0.00,31.09,0.00,0.65,0.00,0.00,0.00,0.00,0.00,35.63,66.92,33.04,0.00,0.00,0.00,0.00,0.00,19.71,10.37,17.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,6.02,8.42,0.00,0.00,0.00,0.00,0.00,9.62,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,417.45,12.01,1.71,0.00,79871.97,1850.94,54.43,83.27,693.71,11.81,9.48,1.35,85911.08,1261.33,251.99,83.06,527.62,7.33,6.19,0.18,31554.88,555.12,97.15,32.67,0.06,0.00,0.00,0.00,0.82,0.00,0.00,0.00,28.49,0.47,0.12,0.06,1790.55,9.29,5.66,1.29,41.90,0.00,0.00,0.00,2125.15,26.68,28.83,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,54.88,238.18,7.14,0.00,2200.94,2417.76,95.98,5.16,155.26,40.78,0.37,0.12,3125.20,490.00,7.49,8.87,844.09,421.15,4.64,0.42,12986.38,3629.09,86.50,14.08,0.24,0.00,0.00,0.00,1.92,1.08,0.00,0.00,177.05,23.03,0.91,3.26,2566.94,408.04,69.68,130.78,13.32,0.30,0.67,0.00,104.43,10.25,1.09,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belize,318.90,268.45,1163.01,569.37,5701.52,2308.55,4488.86,1766.68,10.38,7.73,153.08,150.02,50.92,5.91,498.29,261.22,162.05,59.90,512.71,265.32,778.77,55.64,1051.74,219.17,0.00,0.00,0.00,0.00,3.62,0.00,1.18,0.00,0.00,0.82,4.08,1.54,2.10,0.18,8.51,0.63,0.91,2.54,30.84,2.89,191.25,20.51,287.84,14.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benin,6124.50,1679.56,11.43,0.00,19879.86,8931.73,577.99,0.00,4419.76,4960.25,50.50,61.98,19767.93,9026.00,903.46,672.19,3346.70,1562.55,53.00,29.57,18190.72,11918.04,2232.66,504.65,0.00,0.00,0.00,0.00,1.13,1.13,0.00,0.00,313.20,7.13,1.04,0.66,178.48,28.46,1.04,0.09,50.08,0.00,0.00,0.00,352.33,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
