Region,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
OECD90,540003.12,3084522.40,106773.67,163424.02,352566.12,606267.82,594410.54,1386171.71,109820.54,234806.61,3295396.69,2414697.84,955.58,44371.01,3938.01,1.52,888340.16,1185861.83,233263.16,2700438.48,2.17,1297783.47,3747438.68,1329109.04,4402725.66,0.00,5993.69,8298.42,319955.85,29972.36,380760.09,306625.00,1006661.04,21264.52,376.40,1761150.60,2065418.15
Eastern Europe,2060552.48,816397.11,7499.47,241428.13,584496.30,388431.27,35.25,1751173.38,63339.86,0.00,2199716.58,93.25,1.08,4797086.80,1.14,0.00,1030079.34,764419.37,152384.77,592910.09,48835.09,626803.00,2133236.88,141050.11,1848423.25,0.00,18792.75,918.03,38260.34,1.06,848577.11,111150.59,1256035.58,3780.81,16177.40,685712.77,71125.29
Asia (Sans Japan),2402741.97,932792.80,63207.73,1760908.52,1141462.08,1152756.65,2662677.66,797544.06,203332.52,12.23,796962.71,20.16,5.51,203638.05,8.46,0.00,1909.11,548799.60,101981.49,163548.27,184167.09,118537.45,3459317.28,312.43,688649.03,0.00,2.36,6.47,123835.68,75501.96,71092.88,213529.46,2760289.62,31070.36,68961.35,325269.21,102960.02
Middle East and Africa,2550034.64,1140915.23,11889.63,251733.75,742832.22,730633.92,2074730.45,1359089.87,127937.24,3261957.42,4819.94,0.00,0.00,326.86,0.00,0.00,30891.55,560590.28,492859.96,4013492.85,0.00,104440.84,1987146.33,0.00,789285.38,5.64,41917.55,301293.79,205512.57,41930.79,258170.08,72057.47,13493132.79,50774.81,10430.21,339973.93,0.00
Latin America,605872.81,1590372.27,813.03,3391.35,1033527.41,691428.13,7322803.01,603550.96,350952.91,161955.18,89519.42,0.00,0.00,1746.95,0.00,0.00,202803.71,509656.29,114965.48,3434430.92,0.28,14.86,1351557.52,0.00,715975.06,0.00,0.00,21760.72,187860.15,32571.09,355114.20,70660.96,475720.03,0.00,0.00,330378.23,38714.31
China,593949.00,580780.15,6.78,651963.54,438349.68,420483.64,445361.53,338813.21,169623.74,5.75,530246.95,0.83,3.61,136846.54,0.30,0.00,1034.62,154097.00,53610.81,16736.11,11254.04,8358.04,2567361.87,310.78,234452.73,0.00,2.03,0.17,108.58,1993.42,32279.47,136293.10,1587060.84,24815.03,48630.69,125383.50,64358.28
India,1120052.72,38290.55,12825.10,679317.16,149562.54,152703.31,108502.14,250072.23,12212.05,0.00,92001.86,17.46,1.44,769.00,7.22,0.00,35.07,133567.91,7201.47,40785.06,20209.63,55004.55,111740.41,0.00,6353.18,0.00,0.00,0.00,39.08,3699.83,19015.22,28408.64,36810.97,192.57,395.45,54896.63,16767.04
EU,439805.39,920366.81,99167.91,43022.62,203374.92,95141.95,94952.44,419151.45,1410.80,12.91,769145.74,2.82,0.00,693.15,0.00,0.00,167699.86,271306.54,52016.54,59063.53,0.27,748.73,426711.76,2.92,38263.21,0.00,1016.29,4375.26,917.44,1551.26,94052.65,128047.14,23828.29,4196.52,384.89,130110.20,4552.12
USA,87979.21,1392319.59,0.18,1.10,72202.48,341239.27,11040.63,740040.87,17561.88,0.07,1302389.50,260475.27,0.91,29542.58,0.00,0.00,240822.28,168254.82,7328.70,1847725.72,0.33,43.91,1700654.65,66439.50,189194.10,0.00,4016.02,121.03,170498.72,1930.68,76330.63,145067.66,183520.17,94.08,0.00,353123.69,64910.51
