Region,temperate/boreal-semiarid|AEZ1,temperate/boreal-semiarid|AEZ2,temperate/boreal-semiarid|AEZ3,temperate/boreal-semiarid|AEZ4,temperate/boreal-semiarid|AEZ5,temperate/boreal-semiarid|AEZ6,temperate/boreal-semiarid|AEZ7,temperate/boreal-semiarid|AEZ8,temperate/boreal-semiarid|AEZ9,temperate/boreal-semiarid|AEZ10,temperate/boreal-semiarid|AEZ11,temperate/boreal-semiarid|AEZ12,temperate/boreal-semiarid|AEZ13,temperate/boreal-semiarid|AEZ14,temperate/boreal-semiarid|AEZ15,temperate/boreal-semiarid|AEZ16,temperate/boreal-semiarid|AEZ17,temperate/boreal-semiarid|AEZ18,temperate/boreal-semiarid|AEZ19,temperate/boreal-semiarid|AEZ20,temperate/boreal-semiarid|AEZ21,temperate/boreal-semiarid|AEZ22,temperate/boreal-semiarid|AEZ23,temperate/boreal-semiarid|AEZ24,temperate/boreal-semiarid|AEZ25,temperate/boreal-semiarid|AEZ26,temperate/boreal-semiarid|AEZ27,temperate/boreal-semiarid|AEZ28,temperate/boreal-semiarid|AEZ29
OECD90,181219.82,119468.74,365739.10,9015.45,34818.62,90284.12,3171.01,317430.02,168196.71,200203.40,5755.97,88929.68,144568.79,3035.13,26061.98,20720.36,6166.23,182.63,7008.86,3781.14,44.28,43408.34,55136.06,41791.56,915.60,29136.14,30891.23,438.54,758731.41
Eastern Europe,237754.37,148175.38,213627.24,759.61,15274.97,14772.23,679.73,268508.37,54837.15,57069.62,2838.87,16164.80,37948.76,7935.65,20833.45,605.71,5172.67,208.18,594.41,3835.71,484.34,19701.24,3004.37,11648.42,344.90,2829.25,5163.67,745.60,2192556.49
Asia (Sans Japan),204628.26,5139.47,411066.03,41702.42,7245.95,112130.68,18016.50,825819.41,41670.19,331124.67,12348.66,45307.30,139148.02,18915.24,111427.27,6068.13,6053.69,171.34,2734.30,1467.58,185.23,152696.20,10160.24,110558.14,1612.96,6472.89,16563.72,1489.22,441481.15
Middle East and Africa,8734.29,8862.66,30638.24,347.97,6109.11,9950.61,183.06,81310.50,54117.50,93042.26,3245.10,53648.68,64534.02,1224.78,1421.66,396.65,117.33,2.01,243.11,114.18,1.58,46932.31,38742.12,50408.75,758.14,43640.98,34294.43,320.88,65612.63
Latin America,11785.57,10726.78,45110.81,1279.80,2345.99,10005.65,348.53,46555.45,23247.86,46431.32,865.39,21109.56,31572.58,2428.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7457.16,3934.73,2672.46,54.76,2112.57,1823.80,52.85,10767.56
China,195479.93,1638.70,365345.09,37089.70,472.46,19386.49,8291.90,688142.06,22846.63,265244.47,9507.11,15781.42,36497.26,3579.02,109548.90,5636.36,5272.38,151.78,2075.21,287.09,42.54,141836.58,7740.69,99404.27,1372.40,2323.73,3274.13,176.97,186706.80
India,585.20,53.87,4333.28,3018.92,29.43,5495.63,4877.84,561.76,62.52,2111.79,1433.54,40.50,4856.31,4268.82,150.87,8.35,46.30,15.09,2.21,73.36,56.54,890.17,45.95,319.31,104.03,18.10,580.84,583.77,1427.78
EU,12264.09,35905.68,35159.82,847.57,26982.35,53211.53,1194.95,21826.38,70338.74,38213.69,1027.34,57787.14,64458.62,1784.48,4477.03,7352.28,493.88,61.06,2294.66,549.63,19.21,8855.98,27403.33,11290.35,440.71,17735.36,10149.78,335.31,25266.92
USA,81192.60,34776.57,238548.58,4366.62,2391.90,17767.61,397.26,158766.22,31714.09,74017.36,1929.91,2109.84,8475.75,247.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4516.71,2274.65,5051.60,33.37,174.65,1167.16,10.48,197126.07
