Region,arctic|AEZ1,arctic|AEZ2,arctic|AEZ3,arctic|AEZ4,arctic|AEZ5,arctic|AEZ6,arctic|AEZ7,arctic|AEZ8,arctic|AEZ9,arctic|AEZ10,arctic|AEZ11,arctic|AEZ12,arctic|AEZ13,arctic|AEZ14,arctic|AEZ15,arctic|AEZ16,arctic|AEZ17,arctic|AEZ18,arctic|AEZ19,arctic|AEZ20,arctic|AEZ21,arctic|AEZ22,arctic|AEZ23,arctic|AEZ24,arctic|AEZ25,arctic|AEZ26,arctic|AEZ27,arctic|AEZ28,arctic|AEZ29
OECD90,2087.93,2827.69,11084.60,14004.54,27185.26,46020.48,28387.11,25383.74,15804.59,28624.11,23031.56,622346.43,303612.82,87785.86,0.00,0.10,0.51,0.69,0.06,0.65,1.08,32.45,18.18,146.27,140.97,26.66,115.56,173.64,3571773.11
Eastern Europe,425.34,1090.20,2920.62,2759.05,96735.41,65589.95,26954.46,3886.63,1537.14,2348.65,3357.03,800680.53,267417.02,101639.46,1.07,8.99,39.33,94.33,161.78,989.22,1875.73,1.21,15.31,45.42,71.98,1276.39,2004.31,1756.03,509788.23
Asia (Sans Japan),228.59,476.34,4619.04,14683.67,2174.88,9520.89,31583.00,3343.07,10048.56,9967.79,25952.56,337800.25,371262.44,418458.05,26.78,30.38,34.35,167.10,599.12,1933.67,3488.57,135.41,178.08,303.26,988.68,7890.28,15695.23,14774.50,451502.14
Middle East and Africa,104.15,74.30,599.08,310.97,11.36,125.09,197.01,415.24,241.09,1761.93,696.97,72.04,398.44,212.04,1.04,0.25,0.70,0.38,0.00,0.03,0.06,51.35,10.56,67.87,19.95,7.61,52.29,15.67,724.44
Latin America,10569.77,1868.41,16350.66,24086.48,6623.66,16682.08,31015.89,33986.59,8410.80,61394.46,47927.70,19525.09,55370.90,64558.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2140.30,393.07,2325.59,1201.02,1409.03,2853.09,1971.95,142724.47
China,80.80,125.77,1720.42,10936.25,835.68,4602.23,23386.30,3128.53,9752.33,7718.51,17968.99,324244.69,329404.22,338996.34,26.40,29.93,28.98,147.08,586.28,1862.22,3316.44,130.62,173.76,256.20,847.44,7343.17,14457.16,13201.11,354826.22
India,2.88,4.71,59.96,273.69,29.57,202.09,937.22,49.34,80.71,743.28,4297.89,1332.37,6020.84,21806.63,0.36,0.22,3.17,16.89,3.54,19.47,80.70,1.33,0.83,14.95,66.83,15.21,104.57,527.52,43967.90
EU,2.26,124.31,160.34,513.81,283.69,459.57,1488.93,44.59,1128.53,1216.81,1885.20,6536.34,7015.73,8225.03,0.00,0.00,0.02,0.13,0.00,0.05,0.36,1.03,0.61,14.70,23.56,5.03,21.46,75.30,22202.66
USA,488.10,247.88,1535.13,1440.63,3054.81,6027.26,1714.54,5125.36,1104.74,7785.03,7850.79,65469.78,47380.53,7572.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.71,4.33,108.30,98.99,2.76,17.67,25.52,186382.58
