Region,tropical-semiarid|AEZ1,tropical-semiarid|AEZ2,tropical-semiarid|AEZ3,tropical-semiarid|AEZ4,tropical-semiarid|AEZ5,tropical-semiarid|AEZ6,tropical-semiarid|AEZ7,tropical-semiarid|AEZ8,tropical-semiarid|AEZ9,tropical-semiarid|AEZ10,tropical-semiarid|AEZ11,tropical-semiarid|AEZ12,tropical-semiarid|AEZ13,tropical-semiarid|AEZ14,tropical-semiarid|AEZ15,tropical-semiarid|AEZ16,tropical-semiarid|AEZ17,tropical-semiarid|AEZ18,tropical-semiarid|AEZ19,tropical-semiarid|AEZ20,tropical-semiarid|AEZ21,tropical-semiarid|AEZ22,tropical-semiarid|AEZ23,tropical-semiarid|AEZ24,tropical-semiarid|AEZ25,tropical-semiarid|AEZ26,tropical-semiarid|AEZ27,tropical-semiarid|AEZ28,tropical-semiarid|AEZ29
OECD90,212970.78,113770.81,212157.86,120490.70,44879.85,36968.78,25191.73,2388847.42,1143455.24,904732.01,239914.18,407538.65,209551.34,82475.03,32674.17,19095.12,11898.73,1554.52,3289.42,1206.42,342.96,122409.57,66171.45,60032.35,13401.02,18791.00,10924.12,4003.99,50637.49
Eastern Europe,21598.74,1814.60,5874.75,3080.77,2419.21,2026.14,1697.25,995339.70,154149.39,168177.42,58703.47,157601.83,45568.49,15026.42,78731.60,4600.42,14169.31,3591.17,3987.61,1626.30,974.92,544252.10,32573.83,38912.23,7880.72,15217.43,4619.59,1319.06,156486.51
Asia (Sans Japan),6143.75,7507.93,14430.76,12215.62,12960.97,13593.67,10527.51,850737.79,90179.15,367551.21,162494.20,173024.51,154983.54,121148.73,158676.75,16693.30,13789.26,5310.89,45202.53,4144.65,2051.74,284376.15,113238.75,94864.29,41336.89,215013.42,37424.35,16015.70,707811.25
Middle East and Africa,222288.38,47003.79,39696.67,17346.01,65013.04,26702.12,12053.82,1505300.45,585768.06,326100.58,138997.78,678718.27,293044.34,160922.74,33934.61,13484.37,2152.45,509.20,21195.81,2591.80,1331.51,575004.20,248837.88,89721.67,27438.41,259865.27,57628.05,25590.05,579775.51
Latin America,240527.53,57742.77,108620.60,75071.63,41286.42,39639.56,30823.42,867523.32,219772.03,333285.70,148637.76,288654.62,170675.51,101266.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99407.03,19577.55,16262.95,3436.09,27779.69,9841.21,2675.10,153336.32
China,2647.33,1091.69,5848.42,5970.34,1360.39,2449.88,2577.94,477465.28,48872.74,222377.92,109282.48,62214.29,53353.28,38821.92,27720.44,1786.94,5916.15,3006.05,726.61,752.39,668.36,83215.06,3230.73,34426.18,18736.78,2154.98,1712.87,1213.94,428887.95
India,3259.53,5883.86,7230.52,4803.18,10365.47,8897.94,5508.64,19949.07,18007.38,16602.88,10011.05,31442.75,14380.66,7950.59,93047.62,12653.68,4558.40,1566.02,42462.60,1919.52,421.97,155877.67,98032.41,38324.57,11985.60,200787.86,25102.50,6226.41,17882.09
EU,7795.61,25296.94,18835.36,6483.48,11230.92,8932.87,5244.37,31929.89,79283.28,62820.10,18565.48,49788.10,34224.86,17436.55,8581.29,9414.35,3613.51,360.69,1951.74,602.11,161.50,27368.14,19352.16,20635.73,3215.88,9489.83,6204.35,1660.55,9581.90
USA,115800.81,58349.25,165039.87,102380.36,18767.43,20645.40,17807.60,1218603.49,399168.63,636210.00,178361.41,87365.42,64131.44,31693.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44040.48,10918.01,17111.31,4399.76,3334.93,1389.65,657.15,28076.32
