Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Belarus,73132.21,20125.53,0.00,0.00,15129.75,937.28,0.00,21687.00,1353.18,0.00,37518.42,3.60,0.00,1.31,0.00,0.00,19914.53,7824.58,4.41,0.00,0.00,0.00,3484.80,0.00,9.37,0.00,0.11,0.00,1847.81,0.00,412.67,1836.00,0.58,0.29,0.00,2272.81,0.00
Belgium,1071.06,11318.75,1.45,0.00,2766.29,421.79,0.00,1966.68,0.37,0.00,1470.94,0.00,0.00,0.60,0.00,0.00,1584.33,1747.82,43.66,0.00,0.00,0.00,4479.49,0.00,4.77,0.00,0.00,0.00,0.00,0.00,105.41,3465.01,3.66,0.12,1.62,212.87,0.00
Belize,758.87,127.16,0.18,0.00,419.33,1373.83,16350.26,215.90,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.18,871.42,89.62,375.84,0.00,0.00,234.94,0.00,0.00,0.00,0.00,0.00,5.61,438.42,107.53,32.28,6.16,0.00,0.00,892.05,0.00
Benin,29773.03,918.50,0.00,267.89,9853.70,7219.15,132.48,1038.96,0.00,35967.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251.93,1.60,26253.61,0.00,3172.53,9.38,0.00,0.00,0.00,0.00,0.47,0.00,88.26,34.17,536.81,0.28,1.98,0.00,586.52,0.00
Bhutan,201.82,36.95,4.76,45.86,350.07,904.04,12283.91,851.52,567.02,0.00,15734.30,0.00,0.00,0.00,0.00,0.00,0.93,691.79,1622.18,120.58,192.39,0.00,4794.93,0.00,55.68,0.00,0.00,6.30,0.00,0.25,1.35,5.86,250.65,42.27,17.73,21.31,1560.23
Bolivia,10228.41,25618.54,4.29,0.00,24641.61,18023.75,471173.89,26846.31,51019.07,1067.05,0.00,0.00,0.00,2.21,0.00,0.00,0.00,57322.94,16126.15,92868.10,0.00,0.00,85202.10,0.00,66003.96,0.00,0.00,4201.11,4385.76,79.89,28947.79,1261.56,87568.09,0.00,0.00,13203.58,1010.28
Bosnia and Herzegovina,5571.36,3010.86,61.49,37.46,6314.03,134.74,0.00,18050.77,164.74,0.00,2856.39,0.00,0.00,1.39,0.00,0.00,5114.48,3510.54,52.97,911.63,0.00,0.00,5184.13,0.00,40.51,0.00,0.00,0.00,0.00,0.00,65.71,464.68,1.66,10.81,0.00,265.60,0.00
Botswana,20414.26,3249.16,11.98,7.64,8097.29,2936.29,0.00,6044.08,0.18,34621.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8842.76,2034.83,445229.09,0.00,123.28,29221.85,0.00,538.65,0.00,0.00,1.84,0.00,0.00,7514.63,426.98,8911.08,0.27,173.14,641.54,0.00
Brazil,156097.02,962011.28,44.72,144.31,677364.13,314431.28,3673371.46,129370.79,65165.89,147076.71,0.80,0.00,0.00,353.80,0.00,0.00,2.58,218537.24,38301.79,1283056.21,0.00,0.00,406786.90,0.00,1144.70,0.00,0.00,302.20,99425.05,5055.00,138866.53,25319.34,3435.26,0.00,0.00,127000.35,0.00
Brunei,90.01,107.23,0.95,1.14,234.57,217.93,4450.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.73,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,256.29,162.90,0.00,88.78,0.00,0.00,0.00,102.99,0.00
Bulgaria,25543.04,23778.64,232.29,976.72,7750.83,5034.05,0.00,30314.58,410.65,0.00,5415.80,0.00,0.00,0.84,0.00,0.00,3104.15,3745.23,19.28,217.60,0.00,0.78,1873.41,0.00,133.20,0.00,0.00,0.35,0.00,0.00,176.08,2299.71,466.43,88.61,1.59,1178.31,0.00
Burkina Faso,127761.09,23367.72,0.18,1723.10,22623.83,20646.87,0.65,211.97,39.11,6312.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.49,106.94,19232.98,0.00,4073.04,42525.63,0.00,1113.90,0.00,0.00,37.79,0.00,9.65,258.69,379.31,1037.80,6.20,0.00,975.07,0.00
