Region,temperate/boreal-semiarid|AEZ1,temperate/boreal-semiarid|AEZ2,temperate/boreal-semiarid|AEZ3,temperate/boreal-semiarid|AEZ4,temperate/boreal-semiarid|AEZ5,temperate/boreal-semiarid|AEZ6,temperate/boreal-semiarid|AEZ7,temperate/boreal-semiarid|AEZ8,temperate/boreal-semiarid|AEZ9,temperate/boreal-semiarid|AEZ10,temperate/boreal-semiarid|AEZ11,temperate/boreal-semiarid|AEZ12,temperate/boreal-semiarid|AEZ13,temperate/boreal-semiarid|AEZ14,temperate/boreal-semiarid|AEZ15,temperate/boreal-semiarid|AEZ16,temperate/boreal-semiarid|AEZ17,temperate/boreal-semiarid|AEZ18,temperate/boreal-semiarid|AEZ19,temperate/boreal-semiarid|AEZ20,temperate/boreal-semiarid|AEZ21,temperate/boreal-semiarid|AEZ22,temperate/boreal-semiarid|AEZ23,temperate/boreal-semiarid|AEZ24,temperate/boreal-semiarid|AEZ25,temperate/boreal-semiarid|AEZ26,temperate/boreal-semiarid|AEZ27,temperate/boreal-semiarid|AEZ28,temperate/boreal-semiarid|AEZ29
OECD90,360386.57,233959.10,608566.50,439377.99,103849.21,122167.88,100884.92,378095.54,280923.70,434241.14,228834.74,207871.35,216228.70,159376.61,27290.73,25300.83,17899.96,5512.85,10323.51,6837.05,3630.32,52185.72,83774.77,105023.97,44917.13,55573.90,53971.75,32370.33,758731.41
Eastern Europe,327268.42,243215.70,451777.96,219149.87,25874.85,25495.90,15745.70,299256.72,70260.98,156253.70,63001.56,39717.31,51093.04,46800.06,23601.68,1959.86,9964.92,5605.03,3025.87,4496.46,4359.57,25904.64,6359.13,23134.21,12771.28,6199.41,7381.99,6061.64,2192556.49
Asia (Sans Japan),509294.58,33038.50,605598.66,478918.21,86634.53,129787.43,134006.59,1092750.59,78497.96,714290.56,372985.43,153525.99,183063.01,165640.35,116677.71,6609.92,15973.76,6381.56,3959.51,2139.78,1650.56,249517.56,18575.28,181309.00,122226.61,20402.91,22170.99,19451.76,441481.15
Middle East and Africa,23106.65,19566.30,45910.29,33156.65,13998.58,15249.42,11103.55,110293.90,100914.87,165369.88,101976.67,105715.25,98705.40,71147.44,1448.88,469.31,291.77,114.76,337.04,204.42,123.87,63686.46,65478.09,103919.20,55014.46,73222.22,63062.63,37025.83,65612.63
Latin America,24395.32,34988.64,64416.50,50409.04,9384.65,12277.22,11128.64,69189.25,38226.50,93397.03,52652.62,43079.16,48738.92,36690.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8688.65,4927.27,6167.44,2585.48,3521.43,2649.89,1817.80,10767.56
China,475857.12,19011.77,545738.20,425432.40,12545.70,24601.36,27751.33,911980.98,43356.54,541579.77,301327.72,43564.17,47274.87,41659.79,114384.72,5868.35,14371.66,5712.60,2284.56,372.71,332.29,232056.92,12616.70,160116.90,108824.99,5029.12,4270.72,3613.16,186706.80
India,1849.59,1279.31,6398.00,7318.33,3572.78,8412.35,10231.81,1149.09,954.24,3159.91,3531.63,3125.46,6937.90,8982.41,175.65,24.29,93.00,52.45,46.56,97.30,129.24,1040.35,125.86,811.75,410.20,384.66,870.17,1137.02,1427.78
EU,17557.70,60677.82,69644.83,40486.38,69346.63,77515.52,59097.94,25899.79,100678.97,98919.06,42477.70,111635.86,111094.74,72857.98,4642.68,7720.43,2748.40,380.15,2765.64,1161.73,490.60,10342.67,36741.48,34970.98,11876.60,26821.14,23279.71,10445.77,25266.92
USA,228653.20,78389.71,345795.15,281515.77,15326.66,20186.54,19237.63,203630.82,52031.08,155700.48,88690.73,8694.55,10450.50,9446.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7325.91,3786.09,9246.68,5555.06,1027.49,1328.38,1230.16,197126.07
