Region,arid|AEZ1,arid|AEZ2,arid|AEZ3,arid|AEZ4,arid|AEZ5,arid|AEZ6,arid|AEZ7,arid|AEZ8,arid|AEZ9,arid|AEZ10,arid|AEZ11,arid|AEZ12,arid|AEZ13,arid|AEZ14,arid|AEZ15,arid|AEZ16,arid|AEZ17,arid|AEZ18,arid|AEZ19,arid|AEZ20,arid|AEZ21,arid|AEZ22,arid|AEZ23,arid|AEZ24,arid|AEZ25,arid|AEZ26,arid|AEZ27,arid|AEZ28,arid|AEZ29
OECD90,81188.65,23040.46,2612.50,1344.88,4930.98,1261.64,465.16,3054571.52,698777.97,106897.70,27448.00,211180.62,30718.90,6574.31,602.24,1224.06,24.65,2.09,34.31,2.44,0.28,8116.83,2944.16,648.57,110.00,456.21,146.50,30.12,391010.71
Eastern Europe,864.96,239.54,23.63,7.01,83.77,3.57,1.04,567112.89,77684.65,8581.47,1560.68,129835.77,2390.49,950.77,84983.42,8076.93,287.74,23.80,4648.29,102.61,6.89,10966.11,496.13,116.64,22.79,413.02,20.36,14.12,934056.94
Asia (Sans Japan),2987.63,381.01,843.94,783.74,563.51,1289.78,813.03,314616.29,55874.27,47684.47,36152.65,217647.18,70774.22,63868.77,241040.62,18333.83,1180.18,325.90,24369.36,356.13,199.50,60556.66,8621.45,2094.62,1408.46,77685.10,3354.69,1910.07,2378560.69
Middle East and Africa,70664.41,16842.20,1957.79,1133.43,21961.07,4287.90,2468.15,1550010.23,470370.96,46188.44,15461.21,583402.63,96976.57,46701.41,46657.25,13532.56,273.25,108.66,32491.77,499.53,460.14,283817.08,34442.85,2583.14,857.57,36722.78,2536.77,1307.51,13569717.83
Latin America,4827.70,2543.09,1885.60,1363.75,1497.43,1451.86,1877.12,623171.46,227656.28,167117.65,77315.77,130577.00,69299.02,48668.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8865.08,3080.50,344.10,102.29,2033.12,202.29,129.32,477786.60
China,191.91,10.85,91.26,239.57,9.19,14.86,38.11,215821.85,27914.06,33033.49,22727.27,48519.94,27650.45,39915.68,87107.80,2628.94,965.29,248.22,2962.16,93.21,87.91,17242.28,706.55,644.79,619.30,556.50,311.27,739.56,1436349.26
India,540.23,112.12,22.94,7.65,85.03,4.01,5.58,34565.51,4911.96,853.16,2632.99,62656.48,1359.16,2200.63,18467.73,2486.82,27.95,12.37,6991.14,12.11,2.21,23207.73,3948.56,158.29,82.15,59815.17,603.15,30.59,7632.82
EU,224.35,1197.93,86.25,10.02,36.23,13.40,3.45,651.21,667.13,639.27,156.25,150.63,190.52,71.28,181.45,802.01,21.55,1.87,32.64,2.38,0.28,263.64,314.89,106.94,11.36,49.56,21.66,6.41,2771.54
USA,2176.17,925.30,1438.84,1068.57,211.32,251.76,215.01,314737.31,131218.01,77373.06,24575.25,20952.18,8518.82,3944.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3892.07,1009.40,426.81,83.81,71.20,8.86,7.66,57616.40
