Region,arctic|AEZ1,arctic|AEZ2,arctic|AEZ3,arctic|AEZ4,arctic|AEZ5,arctic|AEZ6,arctic|AEZ7,arctic|AEZ8,arctic|AEZ9,arctic|AEZ10,arctic|AEZ11,arctic|AEZ12,arctic|AEZ13,arctic|AEZ14,arctic|AEZ15,arctic|AEZ16,arctic|AEZ17,arctic|AEZ18,arctic|AEZ19,arctic|AEZ20,arctic|AEZ21,arctic|AEZ22,arctic|AEZ23,arctic|AEZ24,arctic|AEZ25,arctic|AEZ26,arctic|AEZ27,arctic|AEZ28,arctic|AEZ29
OECD90,6197.87,10273.92,23555.80,21165.74,10637.73,16314.29,16859.02,41869.78,43088.13,96362.03,93081.43,39730.26,54293.67,56346.16,0.00,1.30,1.30,1.30,0.94,1.58,1.58,180.86,89.38,331.66,306.44,178.24,257.03,266.14,4821671.39
Eastern Europe,288.48,4693.70,6548.03,5420.02,762.12,1243.26,1184.02,4947.90,4731.44,11525.61,10966.59,6586.57,11014.28,11297.46,18.60,57.24,134.49,130.47,389.01,656.72,668.05,12.88,74.09,124.05,119.50,185.85,334.50,354.73,1931441.44
Asia (Sans Japan),3161.83,6417.20,16727.26,17815.49,11636.83,23365.90,25579.64,8972.64,25744.51,40001.61,37069.57,131724.56,176187.87,164118.49,51.78,92.89,189.65,204.47,456.44,787.30,837.75,282.03,697.73,1297.82,1316.09,4646.41,6779.91,6781.65,1446413.80
Middle East and Africa,215.24,367.86,736.88,614.20,157.01,253.62,255.72,1191.56,1693.95,3334.70,2406.92,502.88,735.26,615.40,1.23,0.94,1.70,1.32,0.09,0.19,0.19,89.50,47.72,136.24,78.80,58.67,75.85,58.95,725.19
Latin America,24707.47,7462.25,38976.36,31242.48,33458.04,44496.51,41222.12,94138.33,42673.97,147672.22,112017.97,112104.03,138376.64,125020.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4435.47,1045.77,5079.15,3328.19,5255.56,5945.69,4759.34,147721.00
China,1839.62,2888.83,10235.74,11517.96,8084.73,17585.03,19537.18,6771.79,22210.58,30043.79,26357.33,113791.30,143228.58,127598.94,49.17,84.70,168.36,179.02,386.08,646.98,677.61,250.36,639.71,1129.86,1132.36,4242.82,5933.25,5779.26,1241377.56
India,46.15,81.65,220.81,235.97,359.52,654.07,730.43,475.81,1700.32,4439.04,5202.54,5314.68,10573.99,12241.13,0.98,5.34,15.42,20.00,34.78,70.59,82.87,9.78,24.07,69.69,83.14,195.89,430.87,524.40,61163.95
EU,29.65,219.98,483.89,556.98,390.72,984.54,1180.10,267.92,2981.83,4362.78,4461.60,5094.36,9251.66,9841.80,0.00,0.00,0.14,0.14,0.07,0.28,0.28,15.41,9.31,39.00,39.97,42.90,83.41,88.24,35375.16
USA,954.31,1050.61,2533.15,2428.61,396.35,523.55,526.82,11100.08,8151.34,22347.35,20013.68,1646.02,2184.92,2168.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.83,39.31,238.52,212.21,19.46,30.20,29.91,324079.71
