Country,Artificial Surfaces,Cropland,Grassland,Tree Covered Areas,Shrubs Covered Areas,"Herbaceous vegetation, aquatic or regularly flooded",Mangroves,Sparse vegetation,Baresoil,Snow and glaciers,Waterbodies
Benin,128.19,44031.01,1993.07,19292.02,49923.62,30.92,59.47,0.84,3.37,0.00,614.73
Bhutan,11.42,2019.38,2824.52,28554.32,2607.27,10.70,0.00,1286.49,1276.13,1756.30,12.89
Bolivia,634.38,56736.32,49820.21,676424.38,105563.51,36056.97,0.00,57599.21,86888.26,3377.53,13723.27
Bosnia and Herzegovina,575.37,12878.06,6197.35,30210.00,1100.79,51.61,0.00,550.80,40.55,0.00,216.92
Botswana,217.06,2048.48,482214.35,22603.87,41660.77,7527.20,0.00,2879.47,13005.77,0.00,6835.54
Brazil,5145.39,1381291.74,424661.23,5322903.30,1120841.03,78285.09,2234.32,1292.27,8549.70,23.77,127418.52
Brunei,131.17,137.16,7.67,5154.37,5.96,0.00,184.00,0.00,0.00,0.00,92.86
Bulgaria,4928.97,53340.33,6121.07,46308.27,314.03,172.73,0.00,332.61,109.34,0.00,1131.48
Burkina Faso,183.92,112717.45,77468.06,18643.79,51759.85,101.62,0.00,8203.46,3030.47,0.00,698.43
Burundi,84.48,13378.18,5495.01,1031.78,4057.86,425.17,0.00,288.26,0.00,0.00,2279.77
Cambodia,1226.99,50065.02,4911.94,108085.20,7135.34,4713.46,506.03,157.96,33.40,0.00,4230.75
Cameroon,236.01,81507.57,9682.00,316316.05,48609.65,1718.99,2229.12,512.99,232.19,0.00,3275.74
Canada,7907.44,558044.50,996345.48,4240961.91,574970.33,347736.45,0.00,2030760.91,241717.14,219291.07,727959.76
Cape Verde,0.00,0.00,701.84,1547.60,458.89,0.00,0.00,139.72,731.18,0.00,307.92
Central African Republic,9.38,14068.72,82561.28,434423.36,86199.36,0.00,0.00,0.00,23.01,0.00,703.89
Chad,57.70,84464.17,204047.10,158511.47,94024.66,2406.97,0.00,33403.44,686026.86,0.00,3351.31
Chile,400.31,32473.82,48651.44,219503.20,109414.41,406.99,0.00,44858.67,208954.53,36463.35,35492.61
China,70081.81,1646527.90,3609851.63,2402076.38,81859.30,321.99,64.56,558700.72,738721.20,112667.04,137519.37
Colombia,119.15,56547.52,200982.99,835945.02,14164.19,2228.33,3974.03,1657.73,2164.81,597.13,16700.88
Comoros,0.00,769.14,1.67,662.78,59.48,0.00,0.00,0.00,0.00,0.00,173.28
Congo,139.79,947.56,23319.97,251832.88,64787.46,8.55,0.00,0.85,0.00,0.00,3856.44
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.77
Costa Rica,10.95,4137.99,6403.30,38959.58,24.38,0.00,874.67,0.84,7.56,0.00,737.18
Croatia,1114.74,18566.91,4962.87,27637.34,1212.89,165.68,0.00,449.49,91.28,0.00,905.78
Cuba,1222.52,49482.21,7096.82,35804.71,6034.87,3028.52,3890.97,132.54,825.51,0.00,2351.92
Curaçao,77.76,5.02,294.26,13.37,1.67,0.00,5.85,0.84,0.00,0.00,66.88
Cyprus,643.28,4308.70,306.51,2005.66,1458.96,11.96,0.00,112.44,28.81,0.00,179.01
Czech Republic,3547.78,38783.90,6604.14,29310.18,15.28,75.70,0.00,0.00,0.00,0.00,415.25
Côte d'Ivoire,393.79,123279.38,12342.34,129452.73,52460.86,51.42,17.88,0.00,5.92,0.00,2655.74
Democratic People's Republic of Korea,5.14,19231.65,440.09,69543.44,0.00,1.91,0.00,25026.04,6749.46,0.00,1374.30
Democratic Republic of the Congo,1975.18,41023.56,27499.07,1550329.71,645799.63,18793.28,0.00,28.10,21.28,0.00,39720.46
Denmark,2641.89,32418.25,610.72,4464.90,440.27,486.89,0.00,1.93,59.18,0.00,1573.25
Djibouti,10.05,0.00,4012.74,126.39,3.34,0.00,6.69,601.54,16709.75,0.00,376.98
Dominica,0.00,100.61,1.65,424.78,120.38,0.82,0.00,0.00,32.16,0.00,50.31
Dominican Republic,120.00,19776.01,6501.92,20714.45,0.00,0.00,198.99,5.69,0.00,0.00,1103.13
Ecuador,57.23,34970.48,22124.67,173691.73,13341.17,294.59,205.95,1485.04,3418.88,480.22,4917.35
Egypt,1830.18,39529.82,0.00,7.31,1364.63,10487.76,73.49,19731.10,919139.97,6.60,9181.52
El Salvador,142.93,13078.54,2980.29,3474.73,0.00,0.00,453.65,0.00,0.00,0.00,410.57
Equatorial Guinea,2.56,2784.28,501.56,22264.51,592.98,0.00,275.18,0.00,0.00,0.00,295.42
Eritrea,109.79,7284.04,18533.60,2627.54,27488.84,70.26,50.39,46933.64,18450.98,0.00,980.63
Estonia,812.99,10865.35,2387.91,26994.05,85.41,1714.67,0.00,1.33,3.63,0.00,2947.12
Ethiopia,97.07,289523.61,370709.81,53212.06,256894.82,8961.73,0.00,214.06,139515.49,0.00,7478.01
Faroe Islands,0.00,0.00,487.47,445.04,8.84,0.00,0.00,0.00,0.81,0.00,389.97
Fiji,0.00,3203.75,46.61,13409.39,15.50,0.00,480.95,0.00,0.00,0.00,1773.30
Finland,4311.80,21039.52,51.05,254964.11,4012.43,18272.58,0.00,1076.07,25.28,0.00,30251.03
France,22234.66,252287.53,97310.03,257286.24,10491.38,1529.39,860.83,4065.48,7446.82,2324.82,10806.16
Gabon,201.72,5254.06,11729.59,229039.56,8762.01,0.00,971.03,0.00,0.00,0.00,3997.19
Gambia,20.80,5734.68,704.75,390.99,2001.68,0.00,1133.13,0.83,19.13,0.00,438.37
Georgia,26.02,9538.02,9798.72,43475.48,4038.04,0.63,0.00,891.55,514.62,731.37,549.21
Germany,25947.84,176597.76,42117.47,106794.76,516.47,1307.65,0.00,240.57,294.37,0.00,3858.38
Ghana,780.58,106569.07,3409.51,51369.55,67883.70,0.00,105.54,1.70,617.83,0.00,7926.52
Greece,2430.44,54766.00,5973.63,43251.62,11204.74,2.64,0.00,9822.88,112.84,0.00,3781.70
