Region,arid|AEZ1,arid|AEZ2,arid|AEZ3,arid|AEZ4,arid|AEZ5,arid|AEZ6,arid|AEZ7,arid|AEZ8,arid|AEZ9,arid|AEZ10,arid|AEZ11,arid|AEZ12,arid|AEZ13,arid|AEZ14,arid|AEZ15,arid|AEZ16,arid|AEZ17,arid|AEZ18,arid|AEZ19,arid|AEZ20,arid|AEZ21,arid|AEZ22,arid|AEZ23,arid|AEZ24,arid|AEZ25,arid|AEZ26,arid|AEZ27,arid|AEZ28,arid|AEZ29
OECD90,45055.12,14500.87,5327.49,3024.32,2387.63,1235.11,759.68,3172090.92,759170.92,380474.34,120059.61,251528.02,105428.19,32253.03,617.97,1251.20,194.16,21.65,37.18,14.04,2.35,5085.97,2460.60,1883.33,460.43,482.15,378.63,125.78,394380.41
Eastern Europe,521.39,48.61,85.36,13.77,46.51,2.66,0.00,572505.77,78820.31,30815.44,6818.08,130983.45,10434.71,1857.26,85199.07,8094.88,1561.77,196.06,4743.46,421.85,47.35,8294.41,213.08,339.75,85.13,180.59,18.20,11.60,944137.01
Asia (Sans Japan),2732.05,288.58,520.90,397.63,241.60,193.65,195.49,362878.53,89154.78,148518.26,81748.83,322916.86,188340.37,108972.63,241685.13,18648.55,4820.28,1449.27,24834.23,1463.01,603.91,49545.69,6919.02,4002.24,2124.96,39040.96,5386.79,1637.59,2444445.84
Middle East and Africa,7000.17,3592.22,1697.85,1128.08,9123.70,5150.03,4025.70,1670793.89,520490.24,188303.76,61388.72,735611.83,287091.83,151359.85,46598.04,13667.41,1501.41,404.32,33324.68,1704.44,1083.87,227593.89,30046.21,9268.53,2497.64,29400.46,6033.61,3091.02,13613430.24
Latin America,5293.04,2586.36,4138.45,2609.30,3210.58,3255.84,2901.16,764082.52,299847.38,451934.08,224256.32,226497.74,178980.06,114338.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7622.33,2711.54,1123.09,325.07,1896.28,724.46,339.26,483475.56
China,245.26,39.41,245.23,244.92,23.24,26.50,27.32,250687.34,43618.06,98563.67,50906.50,53318.94,47603.65,38420.93,87289.70,2759.11,3519.15,1082.97,3068.64,354.19,170.93,12015.24,468.37,828.40,501.78,374.58,268.52,217.89,1495777.83
India,276.22,109.35,106.73,12.79,82.37,10.91,0.08,39862.36,6039.96,5311.90,3715.68,91697.87,18614.56,2123.14,18547.77,2498.93,195.32,59.58,7008.46,130.80,13.64,19937.66,3152.65,912.59,200.70,32778.32,2851.14,20.11,8626.62
EU,222.85,1223.31,352.95,46.76,39.23,26.05,6.29,1077.46,1173.41,1730.65,806.41,446.22,432.20,301.91,195.21,825.48,154.59,20.04,35.38,13.38,2.35,304.96,364.73,366.61,69.83,61.10,42.96,17.90,2699.63
USA,3103.24,1972.35,3386.79,2584.83,521.19,562.09,489.86,379891.89,165664.13,224483.25,97409.08,32516.04,22754.30,13110.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2381.20,767.20,1084.00,316.21,33.59,20.98,15.27,56359.77
