Region,tropical-humid|AEZ1,tropical-humid|AEZ2,tropical-humid|AEZ3,tropical-humid|AEZ4,tropical-humid|AEZ5,tropical-humid|AEZ6,tropical-humid|AEZ7,tropical-humid|AEZ8,tropical-humid|AEZ9,tropical-humid|AEZ10,tropical-humid|AEZ11,tropical-humid|AEZ12,tropical-humid|AEZ13,tropical-humid|AEZ14,tropical-humid|AEZ15,tropical-humid|AEZ16,tropical-humid|AEZ17,tropical-humid|AEZ18,tropical-humid|AEZ19,tropical-humid|AEZ20,tropical-humid|AEZ21,tropical-humid|AEZ22,tropical-humid|AEZ23,tropical-humid|AEZ24,tropical-humid|AEZ25,tropical-humid|AEZ26,tropical-humid|AEZ27,tropical-humid|AEZ28,tropical-humid|AEZ29
OECD90,131246.54,23892.74,59579.97,19285.72,16881.49,3168.64,648.87,281875.97,101783.23,20914.36,2656.36,129267.07,19778.71,2230.30,2603.31,314.24,45.70,9.28,36.74,0.00,0.00,5694.45,1408.15,3656.21,1310.55,634.48,80.18,10.92,7682.31
Eastern Europe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asia (Sans Japan),912902.83,150204.55,724163.64,462724.28,76475.79,74371.09,61308.51,212027.33,48392.13,83401.07,39476.36,25513.92,8183.26,4702.67,228934.73,25425.69,3935.58,1252.79,81516.23,1187.61,337.95,1228701.91,226039.25,229835.02,68297.66,234975.18,29612.39,8297.99,65771.16
Middle East and Africa,3773147.49,696222.71,699578.04,104635.77,307117.58,77980.79,30482.83,1044246.95,387097.38,139097.10,23385.69,387715.30,37766.45,15427.15,40340.89,9312.77,787.17,128.19,7066.97,227.64,76.13,951576.83,390556.17,131444.78,19619.84,176826.27,40562.64,13146.59,124760.32
Latin America,4332299.13,964102.59,810016.77,287246.91,537926.21,330631.23,137197.26,1780749.72,479766.34,300291.07,73886.35,316140.28,60912.64,16326.31,55.88,0.00,0.02,0.00,0.00,0.00,0.00,704029.54,298031.86,138143.38,27587.22,186619.77,30737.44,5511.22,231193.24
China,1192.32,2784.24,3649.95,1513.81,132.73,11.11,2.30,352.08,473.20,609.30,334.31,5.23,0.28,0.04,1044.53,462.08,48.12,10.72,10.52,0.12,0.01,5772.76,7615.89,1075.25,141.39,143.83,3.03,0.56,552.86
India,81273.62,27791.14,67930.94,29918.17,46102.15,23161.83,10391.11,16421.01,5812.42,5740.88,2527.56,8525.06,1910.49,792.45,77870.40,18902.16,1861.49,691.62,78645.03,1040.20,289.03,285599.90,89232.52,30730.82,8283.56,198321.33,12295.86,2275.26,18897.57
EU,46048.50,6469.06,29158.52,4713.56,2163.53,1294.69,187.36,594.10,747.77,747.09,271.74,70.32,6.62,1.39,0.30,4.73,2.46,2.09,0.00,0.00,0.00,681.02,716.38,1209.26,591.00,436.96,34.76,2.45,393.78
USA,8559.99,860.49,3963.42,1521.91,212.93,143.18,137.42,12860.15,742.52,880.34,156.32,656.42,251.13,36.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1326.03,352.65,248.40,27.34,7.24,2.63,0.45,6270.15
