Region,tropical-humid|AEZ1,tropical-humid|AEZ2,tropical-humid|AEZ3,tropical-humid|AEZ4,tropical-humid|AEZ5,tropical-humid|AEZ6,tropical-humid|AEZ7,tropical-humid|AEZ8,tropical-humid|AEZ9,tropical-humid|AEZ10,tropical-humid|AEZ11,tropical-humid|AEZ12,tropical-humid|AEZ13,tropical-humid|AEZ14,tropical-humid|AEZ15,tropical-humid|AEZ16,tropical-humid|AEZ17,tropical-humid|AEZ18,tropical-humid|AEZ19,tropical-humid|AEZ20,tropical-humid|AEZ21,tropical-humid|AEZ22,tropical-humid|AEZ23,tropical-humid|AEZ24,tropical-humid|AEZ25,tropical-humid|AEZ26,tropical-humid|AEZ27,tropical-humid|AEZ28,tropical-humid|AEZ29
OECD90,183681.52,33090.14,146440.87,64779.53,12620.36,6062.23,2421.68,308990.57,116700.48,82613.19,21327.73,159801.97,76572.80,18122.48,2647.70,322.00,306.11,79.36,32.47,0.35,0.35,6319.78,1452.92,5938.66,3049.35,537.62,238.64,48.46,7575.50
Eastern Europe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asia (Sans Japan),1474245.20,449257.28,1544961.41,1084778.89,161688.76,163687.63,125657.94,725896.17,285211.90,645763.02,349398.15,98996.37,71820.13,37855.22,234479.21,27800.89,19916.73,7385.78,83228.13,6660.09,1699.06,1059564.29,233732.86,412343.92,157380.68,237906.90,66063.74,21370.26,63967.01
Middle East and Africa,4235994.00,833867.34,2347106.34,493496.08,386550.58,202803.53,93396.81,1484352.63,540352.26,686218.71,189855.81,507093.93,153155.61,74729.53,40865.85,9535.19,4104.88,624.37,7347.90,751.88,324.74,880591.83,366796.33,413166.09,75545.37,179038.86,76063.23,33998.12,123184.82
Latin America,4848288.98,1234003.13,2720627.84,851790.35,934367.35,794763.10,427598.98,2490252.36,725618.61,1203441.24,412807.47,473938.97,234012.36,79531.12,55.96,0.00,0.94,0.00,0.00,0.00,0.00,539866.19,253303.97,309550.78,61696.16,162310.72,76925.35,16164.56,230279.82
China,2951.65,4739.94,7236.28,5083.47,111.69,28.06,15.25,2697.82,5828.46,5025.27,2101.46,110.05,12.19,4.85,1107.40,506.20,294.20,88.26,13.50,2.42,0.09,4891.67,4148.82,2630.84,665.46,81.56,9.48,0.99,492.53
India,98226.36,42774.20,118284.89,70669.26,57474.50,44834.26,25295.35,102687.12,34610.51,102647.08,54639.03,47707.49,32784.80,15129.62,80024.28,19960.61,9002.46,3437.82,80142.29,6109.62,1455.16,276237.09,89735.36,80508.71,26147.79,195914.99,42339.64,8562.31,18418.76
EU,74710.05,10476.05,79738.80,19934.09,3634.94,2452.53,939.69,1835.30,1886.58,3251.14,1906.40,156.04,71.26,13.52,0.53,8.78,5.68,4.35,0.00,0.00,0.00,1079.36,821.38,1734.82,1039.95,400.63,135.85,6.02,389.93
USA,11787.25,2443.25,7574.48,5078.72,443.76,434.68,269.54,14249.54,1173.19,2411.07,693.56,947.67,701.66,154.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1296.98,371.75,679.37,160.55,10.06,7.83,3.19,6186.93
