Region,tropical-semiarid|AEZ1,tropical-semiarid|AEZ2,tropical-semiarid|AEZ3,tropical-semiarid|AEZ4,tropical-semiarid|AEZ5,tropical-semiarid|AEZ6,tropical-semiarid|AEZ7,tropical-semiarid|AEZ8,tropical-semiarid|AEZ9,tropical-semiarid|AEZ10,tropical-semiarid|AEZ11,tropical-semiarid|AEZ12,tropical-semiarid|AEZ13,tropical-semiarid|AEZ14,tropical-semiarid|AEZ15,tropical-semiarid|AEZ16,tropical-semiarid|AEZ17,tropical-semiarid|AEZ18,tropical-semiarid|AEZ19,tropical-semiarid|AEZ20,tropical-semiarid|AEZ21,tropical-semiarid|AEZ22,tropical-semiarid|AEZ23,tropical-semiarid|AEZ24,tropical-semiarid|AEZ25,tropical-semiarid|AEZ26,tropical-semiarid|AEZ27,tropical-semiarid|AEZ28,tropical-semiarid|AEZ29
OECD90,214447.26,116386.49,109459.97,41155.66,49643.07,25846.17,13227.95,2070603.55,946121.78,257622.79,46389.99,288295.42,62073.43,15485.42,31474.62,17231.96,2785.35,155.89,2870.98,372.19,48.69,159112.28,72288.95,33751.76,3796.41,19815.85,7448.78,1560.67,48653.93
Eastern Europe,23346.14,1378.60,3824.06,1892.17,2007.17,1187.70,1462.88,784907.06,121891.57,50769.03,15406.03,129367.78,13076.93,10105.67,74683.06,3883.93,4325.13,602.80,3148.58,747.06,301.73,682233.84,48469.34,18331.16,3214.80,26150.24,3434.25,1040.15,148713.14
Asia (Sans Japan),4105.08,5564.08,6434.05,8318.13,9895.83,7874.30,7764.34,682472.90,55605.63,122714.42,52326.28,204251.18,131030.56,104484.15,155192.54,15697.63,3688.06,1327.00,43837.16,1198.54,1068.00,279829.45,105525.67,43360.27,14002.08,207486.44,15685.73,9851.26,435733.02
Middle East and Africa,284582.30,62959.88,18820.85,8979.64,79082.84,15090.29,6247.92,1313703.77,462747.18,88813.46,37432.32,465608.39,99249.36,43656.10,33591.63,13157.54,442.39,103.66,19886.57,867.81,451.39,621815.71,257935.35,36785.79,10226.41,272060.99,28829.29,10025.79,580626.93
Latin America,228042.90,22796.84,48024.70,29446.73,19082.36,17569.03,15711.89,720254.24,143132.63,112828.07,45299.93,185426.24,63457.20,36476.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142869.88,26395.24,7462.35,1311.76,35338.81,3776.50,1130.99,152757.31
China,318.70,100.68,2016.22,5114.62,159.18,937.99,3053.54,359550.36,34312.21,81473.35,33746.92,141413.17,74853.08,53632.42,25567.90,1469.29,2366.45,942.63,404.74,372.81,668.11,77400.11,2612.23,24451.80,7979.99,2322.54,1801.49,1855.61,222009.44
India,3365.45,5241.53,3628.88,1683.39,8699.01,4258.94,1582.17,13646.59,11359.57,2941.22,3121.68,19726.77,3610.10,6288.78,92316.82,12209.37,711.01,242.87,42085.84,260.46,72.50,153915.49,92932.96,8497.93,2124.37,197762.67,6058.44,1212.65,14142.46
EU,7891.73,23692.79,14621.28,2934.43,10322.73,11002.85,3929.10,21986.67,48940.94,13399.93,1630.91,23730.11,6809.61,1703.08,8314.86,9023.93,548.90,26.89,1773.80,151.69,22.51,26560.33,19717.36,9447.75,620.48,9878.86,3838.58,536.62,10169.81
USA,51412.68,24814.86,78394.99,32829.92,6890.35,9327.29,7850.36,1027991.18,318618.39,198524.74,39724.49,54525.46,25232.84,9276.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68099.25,14518.70,10362.87,1475.75,3364.68,813.77,444.63,26994.77
