Country,10,11,12,20,30,40,50,60,61,62,70,71,72,80,81,82,90,100,110,120,121,122,130,140,150,151,152,153,160,170,180,190,200,201,202,210,220
Belarus,73225.85,20141.09,0.00,0.00,15182.50,940.86,0.00,21747.09,1354.52,0.00,37611.43,3.60,0.00,1.31,0.00,0.00,19966.42,7845.44,4.41,0.00,0.00,0.00,3500.32,0.00,9.37,0.00,0.11,0.00,1851.02,0.00,413.84,1836.41,0.58,0.29,0.00,2285.31,0.00
Belgium,1079.52,11368.17,1.45,0.00,2782.31,422.81,0.00,1984.90,0.37,0.00,1486.74,0.00,0.00,0.60,0.00,0.00,1594.25,1756.71,44.20,0.00,0.00,0.00,4510.18,0.00,4.77,0.00,0.00,0.00,0.00,0.00,107.04,3475.63,3.90,0.12,1.62,228.15,0.00
Belize,761.67,127.34,0.18,0.00,420.42,1380.65,16415.13,216.08,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.18,872.50,89.80,375.84,0.00,0.00,234.94,0.00,0.00,0.00,0.00,0.00,5.61,455.13,108.16,32.73,6.43,0.00,0.00,1011.42,0.00
Benin,29843.01,922.04,0.00,279.80,9885.66,7241.61,132.86,1043.72,0.00,36058.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.15,1.70,26353.74,0.00,3185.77,9.47,0.00,0.00,0.00,0.00,0.47,0.00,88.26,34.17,537.94,0.28,1.98,0.00,616.33,0.00
Bhutan,208.36,38.48,5.69,47.90,354.06,913.54,12329.44,857.96,567.35,0.00,15765.81,0.00,0.00,0.00,0.00,0.00,0.93,699.17,1626.29,121.00,193.58,0.00,4836.42,0.00,56.01,0.00,0.00,6.30,0.00,0.25,1.35,5.86,254.76,42.27,17.89,21.90,1580.30
Bolivia,10231.16,25626.69,4.29,0.00,24676.85,18040.56,471556.24,26862.16,51084.20,1067.97,0.00,0.00,0.00,2.21,0.00,0.00,0.00,57354.01,16131.34,92998.59,0.00,0.00,85262.47,0.00,66089.56,0.00,0.00,4205.59,4426.19,80.08,29012.02,1265.24,87640.72,0.00,0.00,13283.59,1026.20
Bosnia and Herzegovina,5599.73,3030.73,61.70,38.23,6337.09,135.35,0.00,18117.56,165.15,0.00,2867.59,0.00,0.00,1.39,0.00,0.00,5127.00,3535.11,52.96,918.26,0.00,0.00,5200.14,0.00,41.20,0.00,0.00,0.00,0.00,0.00,67.95,466.64,1.66,10.81,0.00,275.99,0.00
Botswana,20438.66,3263.69,14.89,9.04,8105.23,2939.39,0.00,6053.35,0.18,34663.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8862.35,2040.61,445621.76,0.00,123.37,29291.25,0.00,540.20,0.00,0.00,1.84,0.00,0.00,7543.07,426.98,8919.39,0.27,174.85,647.08,0.00
Brazil,156163.60,962094.84,44.72,148.30,677466.13,314516.08,3675409.41,129385.22,65186.23,147085.70,0.88,0.00,0.00,356.31,0.00,0.00,2.91,218684.59,38308.05,1283258.70,0.00,0.00,406883.79,0.00,1156.85,0.00,0.00,302.20,99805.53,5292.98,139121.92,25410.32,3506.55,0.00,0.00,129013.60,0.00
Brunei,94.27,108.84,0.95,1.14,241.58,222.94,4507.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.92,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,259.80,170.18,0.00,90.48,0.00,0.00,0.00,127.03,0.00
Bulgaria,25599.63,23822.37,232.77,983.68,7760.56,5044.34,0.00,30419.53,410.85,0.00,5427.22,0.00,0.00,0.91,0.00,0.00,3109.48,3754.42,19.28,220.74,0.00,0.78,1888.13,0.00,133.48,0.00,0.00,0.35,0.00,0.00,180.09,2311.35,467.84,88.60,1.66,1214.44,0.00
Burkina Faso,127948.55,23393.20,0.18,1726.71,22665.19,20688.14,0.65,215.52,39.11,6365.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.96,107.21,19362.52,0.00,4086.27,42622.97,0.00,1118.40,0.00,0.00,38.15,0.00,9.74,260.26,379.77,1049.64,6.20,0.00,975.44,0.00
Burundi,1753.92,12625.27,1016.17,1.23,57.73,104.78,147.69,966.63,87.34,239.59,0.00,0.00,0.00,0.00,0.00,0.00,5.87,2240.13,5.59,1963.85,0.00,12.99,3309.02,0.00,0.00,0.00,0.00,0.00,10.34,3.51,245.64,110.74,0.00,0.00,0.00,2305.01,0.00
Cambodia,50654.28,6896.76,501.01,9043.80,7040.18,6251.21,34765.48,24560.89,7.87,5.93,470.79,0.00,0.00,0.93,0.00,0.00,0.37,23532.51,15.11,1505.79,3781.88,0.00,1135.27,0.00,2.51,0.00,0.00,0.00,26.11,346.84,6625.07,316.56,6.22,0.56,14.86,4100.33,0.00
Cameroon,36834.16,12087.39,0.00,620.37,14727.56,8265.66,212244.55,1286.42,0.00,137000.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3685.76,10683.29,15871.90,0.00,1518.99,1788.44,0.00,0.00,0.00,0.00,0.00,143.56,2312.01,1821.65,728.09,6.71,7.15,0.00,3667.02,0.00
Canada,3288.07,534757.43,0.00,0.00,17683.33,13181.62,4.06,177471.19,90710.67,279.56,1119018.91,2166995.94,967.44,8533.28,0.00,0.00,545946.78,393216.15,3374.57,391606.17,0.23,0.00,239592.84,1222125.51,1057483.29,0.00,77.46,107.93,149907.98,0.00,77961.05,11345.72,383596.87,13944.21,0.00,1156757.44,185469.53
Cape Verde,28.37,0.37,0.00,172.55,11.55,50.93,1.56,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.76,252.80,1329.20,0.00,0.37,272.47,0.00,41.65,0.00,0.18,2.92,0.00,29.33,0.36,30.68,849.30,431.59,0.00,417.21,0.00
