Country,0-0.5%,0.5-2%,2-5%,5-8%,8-16%,16-30%,30-45%,>45%
Greece,10982.95,11595.96,19221.33,17748.40,38206.38,28481.38,3450.61,84.13
Greenland,1172588.56,467914.32,187584.14,82439.47,109382.14,79652.73,26556.60,2953.39
Grenada,0.52,10.82,48.81,75.20,144.24,45.83,1.78,0.00
Guatemala,13778.10,24250.22,18018.07,11108.50,21915.59,17152.64,2454.17,59.23
Guinea,13456.67,81023.91,86515.00,29157.27,27510.50,6020.38,393.43,29.32
Guinea-Bissau,10563.21,18244.58,3036.68,334.22,100.19,0.21,0.00,0.00
Guyana,32160.59,75516.65,63440.64,18572.00,15280.36,5491.13,493.31,43.65
Haiti,1783.23,3195.72,4673.70,3655.78,7550.26,5134.84,522.56,7.26
Holy See,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,11635.73,12896.22,12466.62,13356.98,36394.17,23711.19,1252.87,16.15
Hong Kong,32.90,100.48,125.25,111.56,331.33,269.98,10.94,0.00
Hungary,52780.81,18789.39,11461.09,5791.80,3905.09,469.29,2.31,0.00
Iceland,13671.23,26651.85,24350.80,11457.32,14301.46,9045.69,1552.99,59.28
India,1148147.87,1043561.29,314791.41,125747.40,198930.89,220931.48,89025.67,6390.54
Indonesia,384763.06,428584.35,284100.10,166640.96,323179.01,242324.34,28904.04,1011.02
Iran,307272.95,433521.16,314656.13,156384.07,231597.76,154260.98,23095.80,864.67
Iraq,281962.33,106943.47,23307.46,6766.55,9255.10,7729.89,1328.10,46.92
Ireland,8831.63,26844.82,20174.22,6769.77,4961.76,1333.72,139.35,2.13
Israel,1916.78,7663.53,6519.81,2645.62,2404.82,668.10,42.19,0.23
Italy,47707.82,39147.26,37019.29,35019.10,72354.29,52634.26,15104.10,1062.66
Jamaica,845.78,1350.98,2476.73,2040.24,2771.41,1203.72,135.43,0.71
Japan,28478.10,38091.52,49782.14,48126.60,107964.58,87582.62,9083.24,27.11
Jordan,28683.87,37795.17,11509.84,3585.24,4725.11,2272.97,276.49,6.23
Kazakhstan,1564884.28,824088.91,179354.45,48705.43,55796.64,39330.21,8405.59,146.00
Kenya,235126.75,188574.28,87614.23,29239.29,30515.43,13335.02,1203.39,31.18
Kiribati,369.16,85.19,20.54,1.55,0.32,0.00,0.00,0.00
Kuwait,13062.19,4206.09,96.19,6.25,0.93,0.00,0.00,0.00
Kyrgyzstan,10925.70,16395.62,18955.99,16235.24,41737.37,63348.46,29648.82,1739.95
Lao People's Democratic Republic,13160.45,32740.56,23097.82,22323.18,67914.02,64228.62,4483.00,162.20
Latvia,19980.13,38382.13,5733.51,246.53,26.01,0.35,0.00,0.00
Lebanon,318.11,946.07,1641.41,1618.11,3437.78,1769.11,156.64,3.59
Lesotho,63.00,1370.05,3883.53,4013.59,10629.18,9683.08,458.97,4.03
Liberia,2933.88,38132.65,39186.58,8084.04,5833.38,1038.05,22.72,0.05
Libya,806131.63,584877.16,164797.17,38932.21,23822.65,3880.32,208.79,11.47
Liechtenstein,22.61,18.73,6.22,7.46,15.55,35.48,28.53,2.49
Lithuania,24887.81,33185.46,6276.55,456.30,66.43,0.03,0.00,0.00
Luxembourg,19.95,517.25,1121.10,491.62,408.77,48.96,0.21,0.00
Madagascar,49125.16,148316.32,158024.79,87022.80,107910.01,37430.29,1619.07,42.05
Malawi,34910.27,34580.12,24627.78,9403.89,11072.53,4560.40,226.89,15.48
Malaysia,42587.65,59773.31,56356.62,35971.10,79802.33,49717.93,1744.21,46.41
Maldives,4.16,6.82,1.17,0.00,0.00,0.00,0.00,0.00
Mali,746963.74,419366.97,64002.49,12915.88,7983.51,1374.95,84.28,15.28
Malta,3.04,78.40,131.79,44.97,35.19,4.56,0.70,0.00
Marshall Islands,1.90,8.47,3.66,0.00,0.00,0.00,0.00,0.00
Mauritania,632142.10,328684.86,62995.15,6930.68,3908.70,1200.69,53.29,0.10
Mauritius,87.69,861.25,527.35,134.61,188.82,111.77,9.63,0.40
Mexico,362253.69,464633.96,317420.98,186259.36,335642.86,251968.08,31758.32,1216.27
Micronesia (Federated States of),6.63,75.26,103.82,71.51,141.72,80.23,6.32,0.00
Moldova,2624.36,7509.59,14717.98,6148.26,2158.75,47.80,0.04,0.00
Monaco,0.00,0.00,0.35,1.01,6.64,8.93,1.01,0.00
Mongolia,209869.60,607415.49,319754.77,139291.12,201900.09,79502.04,6846.02,54.59
Montenegro,520.98,571.05,1594.23,1892.56,4593.58,3727.38,730.51,55.63
Morocco,173669.74,176451.11,88307.12,45155.86,66605.22,36336.54,3521.98,68.39
Mozambique,202765.31,348361.93,171751.43,26425.19,25555.51,11579.76,946.59,77.25
Myanmar,97867.64,109588.42,94474.84,60480.68,139397.31,139978.08,19798.68,495.98
Namibia,368296.41,267756.37,98939.28,33303.30,36083.89,16834.18,928.05,11.65
Nauru,0.43,10.58,8.07,1.34,0.00,0.00,0.00,0.00
Nepal,16575.67,8820.06,4726.48,4454.33,18946.10,56889.84,33180.60,3512.81
Netherlands,32808.12,3850.11,531.44,80.70,37.64,8.91,2.55,0.00
New Zealand,20518.79,30165.16,38667.08,32749.28,61754.98,59059.00,18109.93,1188.59
Nicaragua,28290.69,33613.74,25355.78,14447.79,20007.80,6356.70,142.82,1.98
Niger,598497.13,433291.42,117827.69,17347.44,10941.91,3139.12,243.72,8.10
Nigeria,269013.40,448472.58,131701.20,22348.37,22449.31,12257.38,876.09,5.61
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,15096.08,53911.61,88251.26,61711.41,86711.24,51868.69,14272.03,1412.80
Oman,170406.29,68614.07,27087.01,13449.54,17911.24,10785.14,1748.47,152.02
Pakistan,319086.64,167047.74,106388.52,51636.86,86732.73,84463.09,50486.00,5875.93
Palau,3.18,39.00,133.67,104.59,58.76,3.45,0.11,0.00
Palestine,265.59,777.56,1598.74,1468.54,1777.62,368.81,12.32,0.46
Panama,4954.94,13489.63,14801.60,10263.86,19266.38,10448.84,680.18,3.33
Papua New Guinea,66874.91,94774.36,59456.00,39668.74,90317.29,91334.94,16045.23,572.25
Paraguay,279464.17,67068.74,45722.28,5421.26,1875.85,345.26,5.58,0.00
Peru,189957.20,299610.98,191789.34,94611.68,204208.96,231703.11,73983.78,2638.77
Philippines,32273.63,42987.30,47967.91,36971.75,71231.35,49270.51,5507.51,105.43
Poland,99443.26,154776.84,40537.50,8730.77,7850.10,1599.21,45.65,1.79
Portugal,3352.75,22016.17,30267.54,14271.97,15575.27,4879.52,260.84,33.80
Qatar,8287.61,2552.81,158.80,5.92,0.10,0.00,0.00,0.00
Republic of Korea (South Korea),4148.64,10102.59,15024.07,13366.99,31309.25,23036.31,556.39,0.30
Romania,60400.18,34193.53,36164.09,33480.48,47834.65,22886.31,1346.77,9.68
Russian Federation,4162779.23,5266112.40,3318856.12,1370403.71,1710108.49,1000300.27,109311.14,1637.10
Rwanda,2195.79,1241.69,4427.51,4875.23,8474.01,3999.54,91.31,0.48
Saint Kitts and Nevis,1.79,11.19,63.44,50.46,68.03,40.34,4.85,0.00
Saint Lucia,4.46,25.54,75.16,111.33,261.83,94.25,9.19,0.42
Saint Vincent and the Grenadines,0.16,1.46,16.45,48.46,158.01,110.64,7.65,0.16
Samoa,50.16,437.53,983.22,602.69,447.46,130.81,23.46,1.92
San Marino,0.00,0.27,4.80,16.80,34.77,3.10,0.23,0.00
Saudi Arabia,754000.93,692010.53,263377.55,84784.85,82189.40,39441.18,4215.04,86.32
Senegal,133139.63,56679.80,4808.29,711.03,410.72,75.26,1.10,0.00
Serbia,22397.55,7031.77,10176.11,10770.51,18302.51,8608.22,281.99,4.31
Seychelles,16.26,24.98,16.93,25.94,92.72,73.39,3.62,0.00
Sierra Leone,6597.98,26420.95,22107.05,6771.60,7557.05,1981.99,68.68,1.48
Singapore,59.71,302.78,125.83,11.91,5.02,0.16,0.00,0.00
Slovakia,7881.31,6028.46,8382.97,7080.10,12775.76,6013.66,284.98,8.90
Slovenia,1377.06,1852.09,3155.38,3135.47,5842.09,3991.63,868.09,100.94
Solomon Islands,578.85,2149.97,3724.74,3898.57,8684.60,5664.08,674.72,10.39
Somalia,372471.84,175037.50,42452.08,16335.32,21053.02,9693.31,693.98,36.40
South Africa,262049.65,460471.13,236472.80,95610.02,111276.43,49747.89,3600.01,162.17
South Sudan,378871.31,202961.44,32043.01,4172.78,5208.53,3265.19,323.08,5.33
Spain,34450.92,114559.54,137189.88,70496.79,94303.21,49827.55,4627.18,162.81
Sri Lanka,15599.44,28964.99,6672.08,3442.82,6579.18,3891.67,352.67,10.55
Sudan,1129925.16,570560.26,84339.76,27116.21,30343.92,14126.55,967.48,8.40
Suriname,21834.89,44748.19,49093.36,14304.77,11799.18,3237.88,80.31,1.28
Swaziland,243.65,3363.80,5548.36,3120.53,3680.42,1118.78,34.54,0.05
Sweden,64407.07,163254.80,132939.46,47891.85,30387.51,5433.10,648.59,28.52
Switzerland,2034.46,3222.88,4875.45,3723.29,7949.95,12173.09,6680.38,775.74
Syrian Arab Republic,67934.57,83575.66,20655.78,5680.72,6048.52,1959.27,67.60,0.17
São Tomé and Principe,2.14,55.40,152.09,139.59,301.99,256.11,55.29,3.15
Taiwan,5239.69,4283.94,2251.57,1769.30,5063.47,11425.16,5397.96,234.58
Tajikistan,5914.51,10412.89,12304.99,10134.73,24698.50,46828.48,29446.50,2496.32
Thailand,150513.26,145502.28,55838.85,35122.65,76787.86,47578.62,1938.74,49.82
The former Yugoslav Republic of Macedonia,1798.33,1782.43,3245.20,3468.76,8096.46,6565.27,425.23,2.89
Timor-Leste,512.79,1518.03,1593.72,2281.20,5996.67,2726.82,244.70,10.25
Togo,6403.67,35000.07,9870.03,2234.38,2355.45,903.77,42.74,0.79
Tonga,149.62,147.59,87.72,36.18,40.06,22.36,3.18,0.00
Trinidad and Tobago,632.71,1912.72,1189.43,364.70,552.95,343.59,19.06,0.16
Tunisia,46816.88,60058.51,29790.74,10128.77,7977.17,1404.34,35.66,0.22
Turkey,60494.38,99882.48,154454.32,118185.99,204896.04,126219.70,14034.33,347.34
Turkmenistan,260769.08,136126.28,48259.05,12893.33,9791.70,2655.81,330.95,14.25
Tuvalu,0.80,4.03,2.70,0.00,0.00,0.00,0.00,0.00
Uganda,63488.16,88846.52,54674.62,15910.51,11966.02,6340.30,585.87,25.20
Ukraine,175536.30,243975.40,111981.40,20200.57,12642.50,6923.22,149.57,0.00
United Arab Emirates,26499.37,29527.72,9348.33,2417.34,1768.71,1038.48,121.55,7.33
United Kingdom,26720.91,74086.71,74004.38,31574.31,29185.52,10149.17,1446.04,99.41
United Republic of Tanzania,217815.64,353350.38,216889.03,61910.94,64114.02,25398.82,1581.06,52.36
United States of America,2112032.15,3053782.36,1902951.45,724928.73,952526.01,602326.79,106007.68,5034.71
Uruguay,28459.43,100376.75,42339.38,4454.29,1326.19,81.29,0.04,0.00
Uzbekistan,254967.53,118154.14,34736.43,10199.81,13493.27,12472.07,3644.23,150.75
Vanuatu,177.22,1452.41,2272.42,1767.17,3124.98,2001.33,262.56,1.96
Venezuela,284354.81,233185.79,139161.13,69690.21,109231.52,65994.96,8883.66,590.20
Vietnam,71225.17,42235.06,38845.01,28181.65,69637.19,69671.17,7467.49,188.77
Western Sahara,67572.28,19348.83,2426.78,557.45,456.43,85.39,1.04,0.00
Yemen,79796.90,118503.21,90814.46,48726.53,66655.69,40877.77,6432.61,219.85
Zambia,266545.04,327067.09,114701.78,19727.03,17522.05,6106.77,213.85,2.29
Zimbabwe,65837.64,190300.24,84262.87,21079.07,20590.66,6999.30,267.23,3.91
