Country,0-0.5%,0.5-2%,2-5%,5-8%,8-16%,16-30%,30-45%,>45%
Afghanistan,99623.09,118256.06,87875.95,58934.55,114621.08,123407.76,37574.31,1878.96
Albania,2742.48,1278.72,1947.17,2723.72,8993.56,8806.89,1659.18,87.92
Algeria,936746.40,812940.09,314120.15,107866.26,104791.88,30181.07,1643.57,35.41
Andorra,0.00,0.32,3.53,9.51,80.72,251.87,106.02,0.28
Angola,319069.26,435761.74,339499.91,78952.79,52645.93,16628.86,825.42,33.69
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,113.97,121.66,87.57,30.11,32.68,15.14,0.05,0.00
Argentina,1427261.38,600673.80,285123.23,134837.57,177548.47,127889.98,28738.97,676.82
Armenia,2453.56,3157.78,4682.69,3891.56,7844.00,7017.69,536.12,3.15
Australia,3843216.69,2684374.85,670415.88,207241.07,197049.94,71689.41,3347.29,43.58
Austria,5204.04,9031.59,12401.30,8399.15,15971.29,23895.80,8531.30,556.99
Azerbaijan,25304.58,15669.85,11063.74,6964.18,14248.86,11093.59,1878.66,24.87
Bahamas,8905.91,2268.47,269.90,10.04,0.10,0.00,0.00,0.00
Bahrain,263.72,282.92,22.43,1.59,0.34,0.00,0.00,0.00
Bangladesh,109780.70,16027.74,4196.11,2311.67,2977.34,1179.90,50.63,0.10
Barbados,26.76,165.91,149.34,39.19,33.00,0.62,0.00,0.00
Belarus,84816.77,107625.22,14744.27,296.07,11.22,1.05,0.00,0.00
Belgium,8402.89,11169.24,7641.73,2209.70,1080.44,97.39,0.27,0.00
Belize,7113.31,6439.82,3000.13,1816.16,2571.46,977.23,46.38,0.41
Benin,18428.46,83811.35,11728.73,1080.58,704.24,150.26,3.84,0.00
Bhutan,39.36,386.87,700.97,922.83,5525.73,20760.95,11450.35,578.94
Bolivia,411721.31,254886.18,126203.25,50357.88,107887.35,112105.06,22991.96,660.16
Bosnia and Herzegovina,3383.94,4010.42,8283.53,8820.61,16630.40,9672.68,980.59,39.86
Botswana,500418.30,71306.23,5565.61,885.23,692.92,171.57,1.49,0.00
Brazil,1452876.25,3132163.07,2397394.53,698674.90,617550.12,163051.92,6973.72,305.90
Brunei,859.45,2200.57,1430.88,393.45,458.23,321.09,6.18,0.00
Bulgaria,9902.33,21827.07,28209.30,16591.67,23230.38,12299.75,644.10,3.21
Burkina Faso,120830.05,139726.46,9857.19,1521.06,789.36,43.43,0.05,0.00
Burundi,2884.39,1659.08,5489.17,5814.25,8203.25,2907.13,84.02,0.11
Cambodia,78440.13,61428.43,18467.59,7640.99,10506.82,4320.95,158.82,1.10
Cameroon,38312.94,132268.17,187324.31,51054.92,36466.59,17466.39,1143.33,10.51
Canada,2549094.30,3303353.45,1982286.28,686604.80,703249.62,506186.42,163636.93,10287.27
Cape Verde,145.92,599.01,569.64,463.90,944.59,733.45,149.20,21.63
Central African Republic,75333.39,330957.72,186247.23,18902.09,5675.41,855.00,10.03,0.00
Chad,740069.34,358809.76,93548.86,29891.52,29604.65,12256.28,1923.51,161.77
Chile,45919.78,109429.67,130016.03,80583.11,147527.69,153864.12,51073.11,3490.58
China,1699343.25,1807615.88,1372815.38,853193.68,1713369.39,1531741.33,377800.18,16495.99
Colombia,242644.49,419967.43,146590.38,53389.44,118308.85,125885.82,25899.78,697.82
Comoros,2.25,60.19,202.53,283.72,630.46,286.88,43.10,4.13
Congo,88903.82,97004.53,96985.30,35608.56,23050.65,3263.07,32.21,0.00
Cook Islands,6.68,28.59,29.45,17.66,26.53,10.38,0.35,0.00
Costa Rica,5788.37,9322.79,7896.93,6096.99,12394.78,8333.91,882.61,8.64
Croatia,11914.57,9762.84,11104.75,7855.20,9954.44,3852.49,274.33,7.42
Cuba,48595.86,33032.03,11579.45,4669.19,6560.32,3787.86,202.83,0.94
Curaçao,28.27,186.92,143.68,39.23,21.89,2.72,0.00,0.00
Cyprus,654.03,2003.53,1990.64,1240.23,2023.94,995.56,28.30,0.22
Czech Republic,4760.69,20456.07,29320.70,12760.66,9921.14,1525.80,11.20,0.00
Côte d'Ivoire,15003.80,177306.88,111782.77,8274.66,6106.21,1847.34,56.40,0.90
Democratic People's Republic of Korea,4791.40,8677.53,12797.76,12688.92,40933.07,40573.00,1462.35,2.39
Democratic Republic of the Congo,322494.30,866486.27,761607.68,210114.15,129938.26,33139.29,1445.12,15.14
Denmark,14765.95,22124.46,4580.71,310.23,37.28,0.99,0.00,0.00
Djibouti,2493.49,6402.61,5058.43,2557.26,3510.04,1578.20,129.41,1.15
Dominica,0.21,5.98,42.21,87.82,286.69,240.29,36.09,0.46
Dominican Republic,6419.23,10978.34,9484.96,5359.48,9156.38,6119.57,542.92,4.00
Ecuador,23761.08,51571.15,45287.31,26096.89,48992.29,48291.90,9758.94,184.16
Egypt,356287.71,415118.09,146700.32,37622.57,31221.96,12133.83,1079.92,15.12
El Salvador,1749.13,3010.73,4316.16,3331.09,5568.06,2433.18,102.09,0.73
Equatorial Guinea,468.76,5692.74,10349.96,4205.23,3900.44,1754.74,99.93,7.31
Eritrea,16253.28,38476.58,18111.15,10572.87,19774.72,16982.38,1902.11,19.90
Estonia,21228.44,21704.73,2035.50,94.25,13.51,0.08,0.00,0.00
Ethiopia,200678.60,292618.87,228348.96,124911.06,171944.16,97350.12,11073.08,440.58
Faroe Islands,4.25,12.14,71.68,117.65,373.39,342.95,76.98,7.07
Fiji,630.57,1434.72,3157.84,3370.64,6612.59,2382.08,88.89,1.48
Finland,95920.31,156485.79,64547.12,11911.81,3953.52,188.59,3.68,0.00
France,70215.97,205490.76,187668.01,72941.85,72612.67,43636.45,9679.13,668.83
Gabon,12403.58,55866.41,100328.60,48613.56,35222.95,6933.16,62.97,0.00
Gambia,5550.15,4548.48,292.29,18.14,0.88,0.00,0.00,0.00
Georgia,4875.98,6965.45,7651.32,6649.83,14412.66,21211.87,7453.56,189.87
Germany,89169.65,113710.62,83174.02,34587.51,28950.89,6861.71,696.62,66.30
Ghana,41453.58,126893.20,54563.49,7498.38,6252.64,1490.09,50.82,0.16
