Country,Af,Am,Aw,BWh,BWk,BSh,BSk,Csa,Csb,Csc,Cwa,Cwb,Cwc,Cfa,Cfb,Cfc,Dsa,Dsb,Dsc,Dsd,Dwa,Dwb,Dwc,Dwd,Dfa,Dfb,Dfc,Dfd,ET,EF
Afghanistan,0,0,0,176909.87538744754,20825.07162631284,13157.88586625391,199839.44165656005,20724.093559767465,17.53841116653895,0,12.139834739058854,0,0,0,0,0,48261.285318114504,78070.58799069484,60174.86408998376,0,0,0,0,0,0,0,0,0,26835.19235693507,113.47575190312003
Albania,0,0,0,0,0,0,0,10847.286907099278,3370.8661706787093,0,0,0,0,4371.01384602897,1732.3308491496928,0,0,2038.3746012558947,68.05872795374441,0,0,0,0,0,0,5406.281304993556,777.4038221719421,0,5.757105504446013,0
Algeria,0,0,0,2042467.5873692618,98661.9719388191,2664.1188187850084,94562.23818008912,72927.03844875062,444.1577840527586,0,0,0,0,0,0,0,0,55.29680813008815,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.62305131675684,0,0,0,0,0,0,0,0,0,0,75.44067558348513,290.7858653712772,0,80.46121999158044,0
Angola,0,0,513635.8914687893,47168.47645812568,46.63977552779566,202087.79494183158,0.8254935414682288,22.59892828412199,99.67629859664325,0,303167.4705640773,179897.80046997016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,0,0,4078.789727529835,0,1864.151237074197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36473.59430551171,12316533.43905538
Antigua and Barbuda,0,17.182054394515067,400.3896584594391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,3.091993378123548,1230.6920531632366,48389.77553342631,859353.9411495648,261623.94475957163,380162.5824786147,0,70891.78001034066,3056.0282731392567,143553.8965488011,17614.742265972618,13.12617972527945,815920.2810092554,61878.77707607348,3201.9923379140578,0,4967.322362084039,35786.38127883146,0,0,0,0,0,0,0,1823.943620136822,0,75960.21729360112,2860.583977419788
Armenia,0,0,0,0,277.2039011842385,0,6795.536653342883,0,0,0,0,0,0,25.241408641622673,2.5900073643659893,0,0,510.83440157654326,306.78328658177213,0,0,0,0,0,245.9860833724352,16776.17997129655,4949.485460363178,0,326.14659834690394,0
Australia,2520.9351160935494,7444.959407254676,676655.0958713659,3782585.138053611,264822.71306653245,1642489.8344854887,439688.7553451699,100117.0235796792,108114.60986994812,0,62075.41480207047,1.6334271409844718,0,299253.7837067935,283895.00963644637,5995.351203278027,0,0,0,0,0,0,0,0,0,1183.0949707110012,773.9243308067086,0,1024.6562372408694,129.4143691440377
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.03449776287407,0,0,0,0,0,0,0,0,0,0,59088.901572357325,17144.47197560409,0,8697.854403782452,0
Azerbaijan,0,0,0,0,7018.384632800519,0,49741.02592188469,3088.6797036404196,6.709905014172582,0,0,0,0,4782.926656066947,1.9329934944595992,0,182.8002524688294,1144.2322840469656,32.64288062335308,0,0,0,0,0,3963.8727982359933,13364.487087080533,3542.1023968909267,0,769.2370419765108,0
